"","Journalnr.","Fisk nr.","År","Dato","Fangststed","Redskap","(mm)","Art","cm","g","K-faktor","Kjønn","Stadium","farge","Opphav","Merknad","otolitt","Alder","1.år","2.år","3.år","4.år","5.år","6.år","7.år","8.år","9.år","10 å","11år","12. år","13. år","14. år","NA","sodomi","sodomi","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1",34426,1,2009,40052,"LUREVATN","BG",19.5,"ØRRET",18.5,61,0.963417764002132,"HUNN",2,"H","VILL",NA,4,4,4,7,11.5,16.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",34427,2,2009,40052,"LIGGVATN  ","BG",19.5,"ØRRET",17.5,81,1.51137026239067,"HUNN",2,"H","VILL",NA,NA,3,3.5,10,13.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",34428,3,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.6,75,1.16552724722977,"HANN",2,"LR","FF","OPPFØRT SOM: VILL",2,2,8.5,15.5,18.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",34429,4,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",21.4,90,0.918335111502209,"HUNN",2,"H","VILL",NA,4,4,3,9,13.5,17.5,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",34430,5,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",16.9,52,1.07731629737162,"HANN",2,"H","VILL",NA,NA,3,4.5,9,13.5,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",34431,6,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",16.3,46,1.06217241505911,"HUNN",2,"H","VILL",NA,NA,3,4,8.5,12.5,16.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",34432,7,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",21,108,1.16618075801749,"HANN",5,"H","VILL",NA,NA,4,3.5,9.5,14.5,19,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",34433,8,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",21,83,0.896231508476406,"HUNN",2,"LR","VILL",NA,4,4,2.5,9,13.5,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",34434,9,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",19.8,72,0.927549136915528,"HANN",2,"LR","VILL",NA,4,4,4,8,13,17.5,19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",34435,10,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",20.4,75,0.883427188637854,"HANN",2,"H","VILL",NA,4,4,5,8.5,14,18,20.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",34436,11,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",16.9,49,1.01516343406172,"HANN",2,"H","VILL",NA,NA,3,4.5,9,14,16.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",34437,12,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",19.4,75,1.02720251393434,"HUNN",2,"LR","FF",NA,NA,3,7,13.5,16.5,19.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",34438,13,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",21.4,100,1.02037234611357,"HANN",2,"LR","FF",NA,NA,3,7,13,18,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",34439,14,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",21.6,92,0.912907077173195,"HANN",2,"LR","FF",NA,NA,3,7,13.5,18.5,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",34440,15,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.9,62,0.918345869495054,"HANN",2,"H","FF",NA,NA,3,7,10.5,15,18.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",34441,16,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18,62,1.06310013717421,"HUNN",2,"H","FF",NA,NA,2,7.5,14,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",34442,17,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.1,60,1.0118485782094,"HUNN",2,"H","FF",NA,NA,2,8,14,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",34443,18,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.5,62,0.979211497838233,"HUNN",2,"H","FF",NA,NA,3,6.5,11,15.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",34444,19,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",20.8,80,0.888996358670915,"HANN",2,"H","FF",NA,NA,3,6.5,14,19.5,20.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",34445,20,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.1,60,1.0118485782094,"HUNN",2,"H","FF",NA,NA,2,7.5,13.5,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",34446,21,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",19.5,75,1.01148030142113,"HANN",2,"LR","FF",NA,2,2,8,15,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",34447,22,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",18.1,65,1.09616929306019,"HUNN",2,"H","FF",NA,NA,3,6.5,10.5,15,18.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",34448,23,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",17.9,56,0.976402615433892,"HUNN",2,"H","FF",NA,2,2,8,14,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",34449,24,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",17.6,60,1.10055879038317,"HUNN",2,"H","FF",NA,3,3,5.5,10,14.5,17.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",34450,25,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",17.5,60,1.11953352769679,"HANN",2,"H","FF",NA,2,2,7,13.5,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",34451,26,2009,40052,"STÅVATN  ","BG",19.5,"ØRRET",17.9,55,0.958966854444001,"HUNN",2,"H","FF",NA,NA,3,6,11.5,15.5,17.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
