inputdata_term,dwc_class,dwc_term,translation_function,translation,,,,,,,,
Innsjø,,locationID,translate,Takvant=405073,,,,,,,,
Innsjø|Dato|Habitat|samplingProtocol|,,eventID,generate_UUID,,,,,,,,,
Dato|Habitat|samplingProtocol,,fieldNumber,paste_values,prefix=gillnet_survey_Takvatn,,,,,,,,
samplingProtocol,,samplingProtocol,translate,translation_table.csv,,,,,,,,
,,recordedBy,fill_column_using,"Per Arne Amundsen",,,,,,,,
,,datasetID,fill_column_using,Takvatnet_Gillnet_timeseries,,,,,,,,
,,datasetName,fill_column_using,"Takvatnet gillnet timeseries",,,,,,,,
,,rightsHolder,fill_column_using,UiT,,,,,,,,
,,institutionCode,fill_column_using,UiT,,,,,,,,
,,accessRights,fill_column_using,restricted,,,,,,,,
samplingEffort,,informationWithheld,fill_column_using,,,,,,,,,
sampleSize,,sampleSize,paste_values,,,,,,,,,
sampleSizeUnit,,sampleSizeValue,paste_values,,,,,,,,,
dyp,,maximumDepthInMeters,paste_values,,,,,,,,,
eventRemarks,,eventRemarks,paste_values,,,,,,,,,
Art,,speciesID,translate,translation_table.csv,,,,,,,,
Lengde,,totalLength_mm,paste_values,,,,,,,,,
Innsjø|Dato|Habitat|samplingProtocol|Nr,,occurrenceID,generate_UUID,,,,,,,,,
Innsjø|Dato|Habitat|samplingProtocol|Nr,,recordNumber,,,,,,,,,,
Dato,,endDate,xl_date_translate,,,,,,,,,
,,,,,,,,,,,,
Kjønn,,sex,translate,translation_table.csv,,,,,,,,
Stadie,,reproductiveCondition,conditional_numeric_translation,"ifelse(input_data_column_value>4,'reproductive',ifelse(input_data_column_value<73,'non-reproductive','reproductive'))",,,,,,,,
Stadie,,lifeStage,conditional_numeric_translation,"ifelse(input_data_column_value>4,'mature','imature')",,,,,,,,
Vekt,,organismQuantity,paste_values,,,,,,,,,
Lengde,,organismQuantityValue,fill_column_using,mass_in_g,,,,,,,,
Anmerk,,occurrenceRemarks,paste_values,,,,,,,,,
Alder,mof_occurrence,age_from_otolith,paste_values,,,,,,,,,
Kjøttfarge,mof_occurrence,fish_flesh_colour,paste_values,,,,,,,,,
Habitat,,habitat,translate,translate,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,Stadie
