destination_term,originalTerm,original_value,translated_value
samplingProtocol,Garn,BGO1,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO2,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO3,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO4,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO5,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO6,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO7,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO8,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO9,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO10,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO11,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO12,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO13,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO14,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO15,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,BGO16,survey_gillnet_multiMesh_bottom_UiT
samplingProtocol,Garn,6+8mm,survey_gillnet_singleMesh_bottom_6_or_8_mm_30x1.5m
samplingProtocol,Garn,"Storma. BGO",survey_gillnet_singleMesh_bottom_29_or_35_mm_30x1.5m
samplingProtocol,Garn,Secchi_disk_20cm_black_and_white,Secchi_disk_20cm_black_and_white
samplingProtocol,Garn,water_sampler_vertical_Ruttner,water_sampler_vertical_Ruttner
habitat,Habitat,1,benthic
habitat,Habitat,2,profundal
habitat,Habitat,3,pelagic
sex,Kjønn,1,male
sex,Kjønn,2,female
speciesID,Art,1,2403
speciesID,Art,2,2403
reproductiveCondition,Modning,2,reproductive
reproductiveCondition,Modning,1,non-reproductive
